FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body
petrol,Maruti,800,2599,2899,2399,3399,2199,20000
petrol,Maruti,Alto,2599,2899,2399,3899,2299,20000
petrol,Maruti,Alto K10,2699,2999,2499,3499,2299,20000
petrol,Maruti,A-Star,2799,3099,2599,4099,2199,22000
petrol,Maruti,Baleno,2999,3299,2799,4999,2599,22000
petrol,Maruti,Celerio,2799,3199,2699,4499,2299,22000
petrol,Maruti,Ciaz,3399,3699,3199,4999,2499,22000
petrol,Maruti,Eeco,3099,3399,2899,4299,2499,24000
petrol,Maruti,Esteem,3099,3499,2999,4099,2499,22000
petrol,Maruti,Ertiga,3599,3899,3399,4299,2499,20000
petrol,Maruti,Estilo,2799,3099,2599,4099,2399,20000
petrol,Maruti,Grand Vitara,3899,4099,3599,5599,2599,22800
petrol,Maruti,Gypsy,3899,4199,3699,5499,2499,20900
petrol,Maruti,Kizashi,4999,5199,4699,6299,2599,20900
petrol,Maruti,Omni,2799,3099,2599,3899,2399,20900
petrol,Maruti,Ritz,2799,3099,2599,4299,2199,20900
petrol,Maruti,S-Cross,3399,3699,3199,4599,2499,22800
petrol,Maruti,Swift,2999,3299,2799,4599,2499,20900
petrol,Maruti,Swift Dzire,3199,3499,2999,4599,2499,20900
petrol,Maruti,SX4,3399,3699,3199,4999,2499,20900
petrol,Maruti,WagonR,2599,3099,2599,3899,2299,20900
petrol,Maruti,Zen,2699,3099,2599,4299,2199,20900
petrol,Maruti,Vitara Brezza,3699,3999,3499,4999,2699,22800
petrol,Maruti,Ignis,2799,3099,2599,4099,2499,20900
petrol,Maruti,S-Presso,2799,3099,2599,4899,2499,20900
petrol,Hyundai,Accent,3199,3499,2999,4499,2499,22800
petrol,Hyundai,Accent-Viva,3199,3499,2999,4499,2499,24000
petrol,Hyundai,Alcazar,4599,4599,3999,6999,2999,28000
petrol,Hyundai,Creta,3899,4099,3599,5099,2699,25000
petrol,Hyundai,Elantra,3899,4199,3699,5299,2499,26000
petrol,Hyundai,Elite-i20,3199,3499,2999,3999,2399,24000
petrol,Hyundai,Eon,2499,2799,2299,3899,2299,20000
petrol,Hyundai,Getz,2899,3199,2699,4199,2499,20000
petrol,Hyundai,Getz-Prime,2899,3199,2699,5499,2499,22000
petrol,Hyundai,Grand-i10,2899,3199,2699,4399,2299,22000
petrol,Hyundai,i10,2499,2799,2299,4199,2299,22000
petrol,Hyundai,i20 Active,3199,3499,2999,4199,2399,24000
petrol,Hyundai,Santa Fe,5999,6099,5599,8899,2499,30000
petrol,Hyundai,Santro Xing,2699,2999,2499,4099,2199,20000
